name,dataset,n,dim,queries,nlist,candidate_budget,average_candidates_scanned,pq_mode,pq_m,rerank,recall_at_1,recall_at_10,first_query_ms,p50_ms,p95_ms,p99_ms,qps,train_time_s,build_time_s,compact_time_s,index_bytes,resident_index_bytes
legacy,sift-128-euclidean,1000000,128,200,4096,20000,20265.0,standard,16,0,0.42,0.5225,2.2548,1.9589,2.2645,2.3817,503.991,7.119,7.192,0.272,24000000,4456456
optimized,sift-128-euclidean,1000000,128,200,4096,20000,20265.0,residual,32,100,0.985,0.9735,12.5211,9.45,13.8362,19.2457,99.941,11.484,10.779,0.292,560000000,4456456
